clean.id,Q3.18_1,Q3.18_2,Q3.18_3,Q3.18_4,Q3.18_5,Q3.18_6,Q3.21_1,Q3.21_2,Q3.21_3,Q3.21_4
1074,1,1,1,NA,NA,NA,1,1,1,NA
1053,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1277,1,1,NA,NA,1,NA,NA,NA,NA,NA
1512,NA,NA,NA,1,NA,NA,NA,NA,1,1
1241,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1189,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1127,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1443,NA,NA,NA,NA,NA,1,NA,NA,1,NA
1374,1,1,NA,NA,NA,NA,1,1,1,NA
1424,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1187,1,NA,NA,NA,NA,NA,1,NA,NA,NA
1428,NA,NA,NA,NA,1,NA,NA,1,NA,NA
1059,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1153,NA,NA,NA,NA,1,NA,1,NA,1,NA
1422,NA,NA,NA,NA,1,NA,NA,NA,1,1
1280,NA,NA,NA,1,NA,NA,NA,NA,1,1
1504,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1373,1,1,NA,NA,NA,NA,NA,NA,NA,1
1030,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1271,1,NA,NA,NA,NA,NA,1,NA,1,NA
1272,1,1,1,NA,NA,NA,1,1,1,NA
1292,1,NA,NA,1,NA,NA,NA,NA,NA,1
1413,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1180,1,NA,NA,NA,NA,NA,NA,NA,NA,1
1027,1,NA,1,NA,NA,NA,NA,NA,1,NA
1412,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1289,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1092,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1097,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1406,NA,NA,NA,NA,1,NA,1,NA,NA,NA
1371,NA,NA,NA,1,NA,NA,NA,NA,1,1
1371,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1022,NA,NA,NA,1,NA,NA,1,1,1,NA
1286,1,NA,NA,NA,NA,NA,NA,NA,NA,1
1204,1,NA,NA,1,NA,NA,1,NA,1,1
1198,1,NA,NA,NA,NA,NA,1,NA,1,NA
1148,NA,NA,NA,NA,1,NA,NA,NA,NA,1
1306,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1051,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1252,NA,NA,NA,NA,1,NA,1,NA,1,1
1093,1,NA,NA,1,NA,NA,NA,NA,1,NA
1125,1,NA,1,NA,NA,NA,1,NA,1,NA
1246,NA,NA,NA,1,NA,NA,1,NA,1,NA
1354,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1354,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1354,NA,NA,NA,NA,NA,1,NA,NA,NA,1
1011,1,NA,NA,NA,NA,NA,1,NA,1,NA
1071,NA,NA,1,NA,NA,NA,1,NA,1,NA
1071,NA,NA,1,NA,NA,NA,NA,NA,1,NA
1047,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1401,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
