clean.id,Q3.19,Q3.25,Q3.25_collapsed
1099,Somewhat important actor,Positive,Positive
1494,Somewhat important actor,Positive,Positive
1276,Most important actor,Positive,Positive
1341,Somewhat important actor,Don't know,Don't know
1288,Most important actor,Positive,Positive
1345,Somewhat important actor,Positive,Positive
1345,NA,NA,NA
1345,NA,NA,NA
1345,Don't know,NA,NA
1144,Don't know,NA,NA
1210,Don't know,NA,NA
1290,Most important actor,Positive,Positive
1448,Not an important actor,NA,NA
1479,Don't know,NA,NA
1479,Most important actor,Positive,Positive
1384,Most important actor,Positive,Positive
1270,Don't know,NA,NA
1321,Somewhat important actor,Positive,Positive
1321,Somewhat important actor,Positive,Positive
1278,Somewhat important actor,Mixed,Mixed
1174,Somewhat important actor,Don't know,Don't know
1174,Don't know,NA,NA
1500,Don't know,NA,NA
1500,Don't know,NA,NA
1361,Most important actor,Positive,Positive
1313,Somewhat important actor,Don't know,Don't know
1340,Somewhat important actor,Mixed,Mixed
1037,Don't know,NA,NA
1302,Most important actor,Positive,Positive
1178,Don't know,NA,NA
1456,Somewhat important actor,Positive,Positive
1169,Most important actor,Positive,Positive
1387,Not an important actor,NA,NA
1195,Most important actor,Don't know,Don't know
1488,Not an important actor,NA,NA
1197,Somewhat important actor,Don't know,Don't know
1259,Most important actor,Positive,Positive
1006,Somewhat important actor,Positive,Positive
1006,Somewhat important actor,Mixed,Mixed
1518,Most important actor,Positive,Positive
1327,Somewhat important actor,Positive,Positive
1201,Most important actor,Positive,Positive
1442,Most important actor,Positive,Positive
1250,Somewhat important actor,Positive,Positive
1296,Don't know,NA,NA
1244,Somewhat important actor,Mixed,Mixed
1452,Most important actor,Positive,Positive
1383,Somewhat important actor,Don't know,Don't know
1503,Don't know,NA,NA
1161,Somewhat important actor,NA,NA
1496,Somewhat important actor,Mixed,Mixed
1496,Somewhat important actor,Positive,Positive
1472,Don't know,NA,NA
1335,Most important actor,Mixed,Mixed
1493,Not an important actor,NA,NA
1282,Somewhat important actor,Positive,Positive
1318,Most important actor,Positive,Positive
1318,Don't know,NA,NA
1275,Don't know,NA,NA
1477,Somewhat important actor,Positive,Positive
1121,Don't know,NA,NA
1465,Somewhat important actor,Positive,Positive
1465,Somewhat important actor,Positive,Positive
1247,Somewhat important actor,Positive,Positive
1247,Most important actor,Positive,Positive
1274,Most important actor,Positive,Positive
1242,Don't know,NA,NA
1242,Most important actor,Positive,Positive
1074,Somewhat important actor,Don't know,Don't know
1053,Don't know,NA,NA
1277,Most important actor,Positive,Positive
1512,Most important actor,Positive,Positive
1241,Don't know,NA,NA
1189,Not an important actor,NA,NA
1127,Don't know,NA,NA
1111,Somewhat important actor,Positive,Positive
1443,Somewhat important actor,Positive,Positive
1374,Somewhat important actor,Mixed,Mixed
1424,Don't know,NA,NA
1424,NA,NA,NA
1187,Somewhat important actor,Positive,Positive
1428,Don't know,NA,NA
